City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Saskylakh,RU,2020-10-30 01:30:18,71.92,114.08,-0.15,84,47,6.13
70,El Alto,PE,2020-10-30 01:30:18,-4.27,-81.21,63.07,91,100,16.17
71,Raga,SS,2020-10-30 01:30:18,8.46,25.68,70.59,81,99,5.84
72,Bluff,NZ,2020-10-30 01:30:18,-46.6,168.33,60.01,90,100,1.99
73,Mandera,KE,2020-10-30 01:28:14,3.94,41.87,77.59,74,20,15.12
74,Vitim,RU,2020-10-30 01:30:18,59.45,112.56,27.5,97,97,4.32
75,Mehamn,NO,2020-10-30 01:30:18,71.04,27.85,34.7,84,96,18.54
76,Sembakung,ID,2020-10-30 01:30:18,3.82,117.25,88.72,63,72,2.21
77,Laguna,US,2020-10-30 01:27:11,38.42,-121.42,70.0,37,1,2.28
78,Galesong,ID,2020-10-30 01:30:19,-5.32,119.37,86.29,65,19,10.69
79,Nikolskoye,RU,2020-10-30 01:30:19,59.7,30.79,50.0,93,90,1.9
80,Georgetown,MY,2020-10-30 01:26:40,5.41,100.34,82.4,83,20,5.82
81,Alofi,NU,2020-10-30 01:30:19,-19.06,-169.92,78.8,61,75,18.34
82,Hualmay,PE,2020-10-30 01:30:20,-11.1,-77.61,62.96,85,100,10.27
83,Atuona,PF,2020-10-30 01:30:20,-9.8,-139.03,78.15,73,86,15.39
84,Bethel,US,2020-10-30 01:28:40,41.37,-73.41,44.6,93,90,10.29
85,Houma,US,2020-10-30 01:29:07,29.6,-90.72,60.01,67,1,5.82
86,Fasa,IR,2020-10-30 01:27:40,28.94,53.65,46.4,28,0,5.12
87,College,US,2020-10-30 01:30:20,64.86,-147.8,17.6,72,90,5.82
88,San Policarpo,PH,2020-10-30 01:30:21,12.18,125.51,83.43,84,100,11.01
89,Ponta Do Sol,PT,2020-10-30 01:30:21,32.67,-17.1,69.8,64,20,10.29
90,Alyangula,AU,2020-10-30 01:30:21,-13.85,136.42,89.6,55,100,6.93
91,Gat,IL,2020-10-30 01:29:00,31.61,34.76,70.0,100,99,2.28
92,Sosnovo-Ozerskoye,RU,2020-10-30 01:30:21,52.52,111.54,27.93,95,100,3.15
93,Torbay,CA,2020-10-30 01:25:28,47.67,-52.73,41.0,82,100,5.99
94,Tuatapere,NZ,2020-10-30 01:30:21,-46.13,167.68,60.01,90,100,1.99
95,Antofagasta,CL,2020-10-30 01:30:21,-23.65,-70.4,59.0,77,90,9.17
96,Mount Gambier,AU,2020-10-30 01:30:22,-37.83,140.77,62.6,63,75,12.75
97,Afsin,TR,2020-10-30 01:30:22,38.25,36.91,40.82,77,0,0.54
98,Ribeira Grande,PT,2020-10-30 01:30:08,38.52,-28.7,67.64,84,100,7.81
99,Vardo,NO,2020-10-30 01:30:22,70.37,31.11,36.61,81,75,19.98
100,Aswan,EG,2020-10-30 01:30:22,24.09,32.91,72.03,26,0,4.21
101,Tuktoyaktuk,CA,2020-10-30 01:28:33,69.45,-133.04,5.45,94,11,5.77
102,Jamestown,US,2020-10-30 01:26:53,42.1,-79.24,44.01,87,90,8.05
103,Andenes,NO,2020-10-30 01:30:22,69.31,16.12,37.0,59,100,11.41
104,Kavaratti,IN,2020-10-30 01:30:22,10.57,72.64,82.87,68,0,6.98
105,San Vicente,AR,2020-10-30 01:26:05,-26.62,-54.13,62.02,76,10,7.07
106,Nanakuli,US,2020-10-30 01:30:23,21.39,-158.15,84.0,61,90,11.41
107,Katsuura,JP,2020-10-30 01:28:46,35.13,140.3,62.01,47,75,12.75
108,Tiznit,MA,2020-10-30 01:30:23,29.58,-9.5,71.82,22,78,10.71
109,Arraial Do Cabo,BR,2020-10-30 01:30:24,-22.97,-42.03,75.02,94,96,3.87
110,Hasaki,JP,2020-10-30 01:30:24,35.73,140.83,59.0,54,75,6.93
111,Brigantine,US,2020-10-30 01:28:00,39.41,-74.36,54.0,93,90,11.41
112,Cidreira,BR,2020-10-30 01:27:16,-30.18,-50.21,61.41,63,100,10.42
113,Khatanga,RU,2020-10-30 01:27:19,71.97,102.5,2.19,85,0,12.8
114,Pak Phanang,TH,2020-10-30 01:30:25,8.35,100.2,82.18,76,100,8.61
115,Sandur,IN,2020-10-30 01:30:25,15.1,76.55,73.04,75,81,1.59
116,Altamont,US,2020-10-30 01:30:25,42.21,-121.74,66.2,17,1,3.36
117,Puerto Rondon,CO,2020-10-30 01:30:25,6.28,-71.1,78.76,86,98,4.94
118,Bengkulu,ID,2020-10-30 01:27:12,-3.8,102.27,75.65,89,100,2.77
119,Wilkie,CA,2020-10-30 01:30:26,52.42,-108.7,33.22,96,100,7.92
120,Aksarka,RU,2020-10-30 01:27:24,66.56,67.8,29.26,98,100,8.66
121,Fuxin,CN,2020-10-30 01:30:26,42.02,121.66,50.94,41,0,4.99
122,Emerald,AU,2020-10-30 01:30:26,-23.53,148.17,91.4,11,0,13.87
123,Te Anau,NZ,2020-10-30 01:30:26,-45.42,167.72,57.49,92,100,3.62
124,Flinders,AU,2020-10-30 01:30:26,-34.58,150.86,73.0,49,40,11.41
125,Husavik,IS,2020-10-30 01:30:27,66.04,-17.34,44.6,70,40,8.05
126,Sorland,NO,2020-10-30 01:25:46,67.67,12.69,39.34,72,98,14.65
127,Nanortalik,GL,2020-10-30 01:30:27,60.14,-45.24,29.8,94,100,12.03
128,Vaini,TO,2020-10-30 01:28:26,-21.2,-175.2,77.0,65,20,9.17
129,Bay Roberts,CA,2020-10-30 01:30:27,47.6,-53.26,41.0,93,99,5.99
130,Gigmoto,PH,2020-10-30 01:30:27,13.78,124.39,85.78,73,100,11.14
131,Yulara,AU,2020-10-30 01:28:43,-25.24,130.99,71.6,26,0,12.75
132,Bathsheba,BB,2020-10-30 01:27:25,13.22,-59.52,80.6,88,40,23.04
133,Sao Felix Do Xingu,BR,2020-10-30 01:29:03,-6.64,-51.99,78.04,76,57,2.35
134,Esna,EG,2020-10-30 01:30:27,25.29,32.55,73.4,33,0,3.36
135,Vestmannaeyjar,IS,2020-10-30 01:30:28,63.44,-20.27,45.77,78,100,20.09
136,Buraydah,SA,2020-10-30 01:30:28,26.33,43.98,59.0,38,0,6.22
137,Troitsko-Pechorsk,RU,2020-10-30 01:30:28,62.71,56.2,37.99,95,100,9.15
138,Thompson,CA,2020-10-30 01:30:28,55.74,-97.86,23.2,98,88,5.32
139,Sakakah,SA,2020-10-30 01:27:35,29.97,40.21,66.2,16,0,3.36
140,Saldanha,ZA,2020-10-30 01:30:29,-33.01,17.94,44.6,81,0,8.05
141,Lasa,IT,2020-10-30 01:25:53,46.62,10.7,44.01,93,5,5.82
142,Port-Cartier,CA,2020-10-30 01:26:57,50.03,-66.87,27.0,64,0,5.01
143,Raudeberg,NO,2020-10-30 01:27:16,61.99,5.14,44.01,87,0,9.93
144,Kaitangata,NZ,2020-10-30 01:28:41,-46.28,169.85,57.0,85,100,11.99
145,Kodiak,US,2020-10-30 01:29:50,57.79,-152.41,41.0,56,1,3.36
146,Annau,TM,2020-10-30 01:30:30,37.89,58.52,35.6,51,0,2.24
147,Harper,LR,2020-10-30 01:27:21,4.38,-7.72,77.14,90,99,8.34
148,Nurota,UZ,2020-10-30 01:30:30,40.56,65.69,41.0,48,0,9.17
149,Calvinia,ZA,2020-10-30 01:30:30,-31.47,19.78,42.62,77,19,3.78
150,Mount Pleasant,US,2020-10-30 01:27:55,32.79,-79.86,77.0,94,90,12.75
151,Takoradi,GH,2020-10-30 01:30:30,4.88,-1.76,77.47,87,0,5.35
152,Svirstroy,RU,2020-10-30 01:30:31,60.8,33.72,47.88,95,100,5.5
153,Solwezi,ZM,2020-10-30 01:30:31,-12.17,26.39,61.23,71,82,3.91
154,Tabory,RU,2020-10-30 01:30:31,58.52,64.55,30.87,99,34,6.26
155,Mapastepec,MX,2020-10-30 01:30:31,15.43,-92.9,77.16,80,100,3.06
156,Sibolga,ID,2020-10-30 01:27:46,1.74,98.78,81.32,68,18,1.83
157,Ulladulla,AU,2020-10-30 01:30:31,-35.35,150.47,69.8,49,40,11.41
158,Usinsk,RU,2020-10-30 01:30:31,65.99,57.53,37.36,95,100,16.75
159,Barrow,US,2020-10-30 01:30:02,71.29,-156.79,21.2,85,75,6.93
160,Merauke,ID,2020-10-30 01:30:31,-8.47,140.33,85.8,61,0,8.93
161,Hithadhoo,MV,2020-10-30 01:30:31,-0.6,73.08,82.9,77,64,11.48
162,Moa,CU,2020-10-30 01:30:32,20.66,-74.94,79.7,82,6,10.89
163,Igrim,RU,2020-10-30 01:30:32,63.19,64.42,33.55,93,39,7.27
164,Saint-Leu,RE,2020-10-30 01:30:32,-21.15,55.28,69.8,56,75,13.87
165,Garissa,KE,2020-10-30 01:30:32,-0.45,39.64,75.78,77,16,12.06
166,Kirensk,RU,2020-10-30 01:30:32,57.79,108.11,26.37,92,2,6.29
167,Barahona,DO,2020-10-30 01:30:01,18.21,-71.1,80.19,74,95,5.19
168,Xining,CN,2020-10-30 01:30:33,36.62,101.77,45.43,49,0,3.44
169,Atlantic City,US,2020-10-30 01:30:33,39.36,-74.42,55.0,93,90,11.41
170,Port Hedland,AU,2020-10-30 01:30:33,-20.32,118.57,93.2,34,0,10.29
171,Alghero,IT,2020-10-30 01:30:33,40.56,8.32,60.8,87,0,2.24
172,Ust-Koksa,RU,2020-10-30 01:30:33,50.27,85.61,23.22,92,100,4.92
173,Lata,PT,2020-10-30 01:30:33,40.16,-8.33,60.01,89,0,3.2
174,Waipawa,NZ,2020-10-30 01:30:34,-41.41,175.52,64.4,88,11,20.8
175,Leningradskiy,RU,2020-10-30 01:30:34,69.38,178.42,17.29,88,51,13.87
176,Klyuchi,RU,2020-10-30 01:30:34,52.27,79.17,34.29,88,100,14.94
177,Tessalit,ML,2020-10-30 01:30:34,20.2,1.01,73.26,20,0,5.28
178,Chokurdakh,RU,2020-10-30 01:30:34,70.63,147.92,-3.71,93,98,1.72
179,Tiksi,RU,2020-10-30 01:30:34,71.69,128.87,9.86,95,98,5.46
180,Fortuna,US,2020-10-30 01:30:34,40.6,-124.16,57.99,81,1,9.17
181,Ahipara,NZ,2020-10-30 01:30:35,-35.17,173.17,67.46,67,100,11.03
182,Vila Franca Do Campo,PT,2020-10-30 01:30:35,37.72,-25.43,68.0,94,75,12.75
183,La Ronge,CA,2020-10-30 01:30:35,55.1,-105.28,23.67,95,56,8.55
184,Upernavik,GL,2020-10-30 01:30:35,72.79,-56.15,22.91,97,100,5.03
185,Sitka,US,2020-10-30 01:30:35,57.05,-135.33,44.6,81,40,10.29
186,Aleksandrov Gay,RU,2020-10-30 01:30:35,50.15,48.57,40.8,64,76,11.27
187,Conceicao Da Barra,BR,2020-10-30 01:30:35,-18.59,-39.73,76.6,84,100,10.56
188,Chara,RU,2020-10-30 01:30:36,56.91,118.26,21.04,89,29,0.63
189,Chenzhou,CN,2020-10-30 01:30:36,25.8,113.03,62.47,84,99,3.47
190,Sawtell,AU,2020-10-30 01:30:36,-30.38,153.1,78.01,60,0,18.34
191,Bethalto,US,2020-10-30 01:30:36,38.91,-90.04,44.01,87,90,11.41
192,Saint George,US,2020-10-30 01:29:15,37.1,-113.58,69.8,14,1,4.7
193,Luxeuil-Les-Bains,FR,2020-10-30 01:30:36,47.82,6.37,53.6,93,90,6.93
194,Marshall,US,2020-10-30 01:30:36,34.38,-86.33,50.0,66,90,14.99
195,Dawlatabad,AF,2020-10-30 01:30:36,36.41,64.91,31.93,86,0,0.98
196,Terrace,CA,2020-10-30 01:26:24,54.52,-128.6,39.51,84,100,2.55
197,Beyla,GN,2020-10-30 01:30:36,8.68,-8.63,68.11,67,9,1.03
198,Northampton,US,2020-10-30 01:30:36,40.88,-75.25,46.0,96,100,10.71
199,Mount Vernon,US,2020-10-30 01:30:37,40.91,-73.84,48.99,93,90,21.92
