City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Hermanus,ZA,-34.42,19.23,62.01,86,97,3.0,overcast clouds
83,Saint-Philippe,RE,-21.36,55.77,71.6,60,90,6.93,overcast clouds
84,Bluff,NZ,-46.6,168.33,57.0,64,32,8.99,scattered clouds
85,San Nicolas,PH,18.17,120.6,89.6,70,75,9.17,broken clouds
86,Butaritari,KI,3.07,172.79,82.11,79,59,10.29,light rain
87,Burns Lake,CA,54.23,-125.75,41.0,86,68,1.12,broken clouds
88,Vila,PT,42.03,-8.16,60.01,95,96,8.99,light rain
89,Faanui,PF,-16.48,-151.75,80.15,79,1,16.98,light rain
90,Somerset East,ZA,-32.72,25.59,53.69,87,0,0.69,clear sky
91,Perth,AU,-31.93,115.83,68.0,60,40,5.82,scattered clouds
92,Champaign,US,40.13,-88.2,34.0,63,1,8.05,clear sky
93,Port Blair,IN,11.67,92.75,83.53,72,56,5.79,broken clouds
94,Jamestown,US,42.1,-79.24,35.01,96,90,24.16,light rain
95,Fayaoue,NC,-20.65,166.53,77.58,79,51,14.09,moderate rain
96,Richmond,US,37.55,-77.46,53.6,34,40,16.11,scattered clouds
97,San-Pedro,CI,4.75,-6.64,76.51,92,39,5.35,scattered clouds
98,Puerto Narino,CO,-3.77,-70.38,75.2,100,0,1.5,clear sky
99,Elliot,ZA,-31.33,27.85,46.78,90,15,2.93,few clouds
100,Esperance,AU,-33.87,121.9,80.6,65,75,16.11,light rain
101,Pampa,US,35.54,-100.96,51.8,57,1,13.87,clear sky
102,Cockburn Town,TC,21.46,-71.14,82.2,77,100,18.12,overcast clouds
103,Pitimbu,BR,-7.47,-34.81,78.8,83,75,5.82,broken clouds
104,Itarema,BR,-2.92,-39.92,79.52,81,44,11.32,scattered clouds
105,Broome,US,42.25,-75.83,35.01,96,20,10.29,few clouds
106,Barrow,US,71.29,-156.79,26.6,68,90,17.22,overcast clouds
107,Akyab,MM,20.15,92.9,79.92,82,99,7.29,light rain
108,Havre-Saint-Pierre,CA,50.23,-63.6,41.68,87,100,25.17,overcast clouds
109,Storforshei,NO,66.4,14.52,42.6,80,100,6.96,light rain
110,East London,ZA,-33.02,27.91,62.6,93,20,8.05,few clouds
111,Yanam,IN,16.73,82.22,82.4,74,0,8.05,mist
112,Zhigansk,RU,66.77,123.37,2.28,92,100,21.41,overcast clouds
113,Kruisfontein,ZA,-34.0,24.73,63.0,85,17,1.99,few clouds
114,Upernavik,GL,72.79,-56.15,16.39,93,98,3.98,overcast clouds
115,Tigil,RU,57.8,158.67,39.81,69,66,9.22,broken clouds
116,Dingle,PH,11.0,122.67,83.52,80,93,14.27,light rain
117,Isangel,VU,-19.55,169.27,86.0,66,75,11.41,broken clouds
118,Potiskum,NG,11.71,11.07,74.1,27,84,10.36,broken clouds
119,Mar Del Plata,AR,-38.0,-57.56,60.01,93,0,4.7,clear sky
120,Suntar,RU,62.14,117.63,6.73,86,0,7.78,clear sky
121,Bambous Virieux,MU,-20.34,57.76,73.0,77,75,6.93,broken clouds
122,Vostok,RU,46.49,135.88,33.24,91,70,7.27,broken clouds
123,Najran,SA,17.49,44.13,55.4,32,0,0.4,clear sky
124,Salalah,OM,17.02,54.09,71.6,46,0,3.36,clear sky
125,Richards Bay,ZA,-28.78,32.04,64.54,94,100,4.88,light rain
126,Pasir Gudang,MY,1.46,103.88,89.6,62,75,5.82,broken clouds
127,Mazyr,BY,52.05,29.25,43.11,85,100,7.02,overcast clouds
128,Tasiilaq,GL,65.61,-37.64,24.8,73,0,5.82,clear sky
129,Linguere,SN,15.4,-15.12,68.0,64,0,4.7,clear sky
130,Tiksi,RU,71.69,128.87,-5.66,90,0,6.15,clear sky
131,Lebu,CL,-37.62,-73.65,52.75,93,99,6.38,overcast clouds
132,Oranjemund,NA,-28.55,16.43,60.13,70,2,4.83,clear sky
133,Kangaatsiaq,GL,68.31,-53.46,30.65,91,100,17.92,overcast clouds
