City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,Kannur,IN,75.2,mist,11.87,75.36,Kannur
342,Labuhan,ID,85.44,heavy intensity rain,-6.88,112.21,Musholla Babut Taubat
347,Port Lincoln,AU,77.79,broken clouds,-34.73,135.87,Port Lincoln
351,Aquiraz,BR,80.6,few clouds,-3.9,-38.39,Eusébio
361,Kanniyakumari,IN,81.88,scattered clouds,8.08,77.57,Agasteeswaram
363,Srivardhan,IN,79.99,overcast clouds,18.03,73.02,Shrivardhan
368,San Policarpo,PH,85.33,overcast clouds,12.18,125.51,Oras
369,Victor Harbor,AU,78.01,few clouds,-35.57,138.62,Victor Harbor - Goolwa
372,Ler,SS,75.87,broken clouds,8.3,30.14,Leer
376,Gamba,GA,75.9,overcast clouds,-2.65,10.0,Foundou
381,Veraval,IN,81.1,clear sky,20.9,70.37,Veraval
386,Paka,MY,86.0,scattered clouds,4.64,103.44,Paka
387,Kilindoni,TZ,77.81,clear sky,-7.91,39.67,Kilindoni
392,Champasak,LA,80.6,light rain,14.75,106.0,Thang Beng
393,Moussoro,TD,79.03,scattered clouds,13.64,16.49,Moussoro
394,Bathsheba,BB,82.4,scattered clouds,13.22,-59.52,Wilson Hill
399,Kavaratti,IN,81.68,clear sky,10.57,72.64,Kavaratti
403,Banjar,ID,89.49,broken clouds,-8.19,114.97,Banjar
409,Tadine,NC,78.94,broken clouds,-21.55,167.88,Tadine
413,Kashmor,PK,75.27,clear sky,28.43,69.58,Kashmore
414,Bonfim,BR,77.77,light rain,3.08,-59.95,Bonfim
419,Lorengau,PG,86.16,scattered clouds,-2.02,147.27,Lorengau
420,Lashio,MM,77.54,scattered clouds,22.93,97.75,Lashio
423,Wagar,SD,75.96,clear sky,16.15,36.2,Wagga
427,Lazaro Cardenas,MX,79.41,scattered clouds,17.96,-102.2,Lázaro Cárdenas
435,Adrar,MR,76.28,overcast clouds,20.5,-10.07,
439,Djibo,BF,78.44,clear sky,14.1,-1.63,Djibo
441,Ewa Beach,US,82.4,light rain,21.32,-158.01,Kapolei
444,Marihatag,PH,87.39,overcast clouds,8.79,126.3,Marihatag
446,Axim,GH,77.41,clear sky,4.87,-2.24,Axim
449,La Asuncion,VE,78.8,moderate rain,11.03,-63.86,Porlamar
469,Vung Tau,VN,81.21,overcast clouds,10.35,107.08,Vũng Tàu
471,Pemangkat,ID,84.47,light rain,1.17,108.97,Pemangkat
472,Mae Sai,TH,82.99,few clouds,20.43,99.88,Tachileik
476,Pilar,BR,75.2,clear sky,-9.6,-35.96,Pilar
479,Oistins,BB,82.4,scattered clouds,13.07,-59.53,Bridgetown
481,Kalmunai,LK,83.14,broken clouds,7.42,81.82,Kalmunai
483,Barra,BR,75.27,light rain,-11.09,-43.14,Barra
485,Srandakan,ID,84.9,light rain,-7.94,110.25,Bantul
491,Maine-Soroa,NE,75.36,scattered clouds,13.21,12.02,Maïné-Soroa
492,Chipoka,MW,75.06,clear sky,-13.99,34.52,Chipoka
511,Pangai,TO,78.8,scattered clouds,-19.8,-174.35,Pangai
514,Mitsamiouli,KM,76.78,broken clouds,-11.38,43.28,Mitsamiouli
517,Yilan,TW,82.99,overcast clouds,24.76,121.75,Yilan
533,Trairi,BR,79.68,broken clouds,-3.28,-39.27,Trairi
535,Takoradi,GH,77.32,scattered clouds,4.88,-1.76,Takoradi
541,Martapura,ID,75.49,light rain,-3.42,114.85,Martapura
542,Sao Filipe,CV,78.08,broken clouds,14.9,-24.5,Sao Filipe
543,Tutoia,BR,80.44,scattered clouds,-2.76,-42.27,Tutóia
546,Monywa,MM,78.57,broken clouds,22.12,95.13,Monywa
547,Thinadhoo,MV,83.35,heavy intensity rain,0.53,72.93,
551,Rameswaram,IN,82.17,broken clouds,9.28,79.3,Rameswaram
553,Balikpapan,ID,84.2,few clouds,-1.27,116.83,Balikpapan
557,Gympie,AU,79.95,few clouds,-26.19,152.66,Gympie
558,Kudahuvadhoo,MV,82.69,clear sky,2.67,72.89,Kudahuvadhoo
559,Pyinmana,MM,82.99,clear sky,19.73,96.22,Pyinmana
563,Santa Cruz,BO,78.8,broken clouds,-17.8,-63.17,Santa Cruz de la Sierra
564,Ormara,PK,77.16,clear sky,25.21,64.64,Ormara
569,Maragogi,BR,76.44,scattered clouds,-9.01,-35.22,Maragogi
572,Honiara,SB,84.2,thunderstorm,-9.43,159.95,Honiara
575,Altamira,BR,79.47,scattered clouds,-3.2,-52.21,Altamira
577,Cam Ranh,VN,87.8,scattered clouds,11.92,109.16,Cam Ranh
581,Hervey Bay,AU,80.01,clear sky,-25.3,152.85,Hervey Bay
587,Porto Walter,BR,76.14,overcast clouds,-8.27,-72.74,Porto Walter
589,Yeppoon,AU,89.6,broken clouds,-23.13,150.73,Yeppoon
591,Broken Hill,AU,82.4,few clouds,-31.95,141.43,Broken Hill
